Walking
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
19	0.2739	-0.01918	-0.12274	-0.048905	 0.18180	-0.13948	0.9352	-0.22334	-0.089843	-0.9699	-0.9587	-0.9292	-0.0274971	-0.07516	0.07981	-0.02644	-0.114406	-0.10420
20	0.2726	-0.02120	-0.11354	-0.208343	 0.48977	-0.22873	0.9000	-0.34444	-0.035130	-0.9703	-0.9620	-0.9539	-0.0234104	-0.07411	0.08514	-0.23294	 0.085832	-0.16575
21	0.2792	-0.01816	-0.10432	-0.297815	 0.05409	-0.16869	0.8625	-0.37098	-0.220948	-0.9696	-0.9641	-0.9749	-0.0459323	-0.05903	0.09837	-0.43223	-0.397892	-0.31188
22	0.2789	-0.01672	-0.10711	-0.008659	 0.10038	-0.21335	0.9361	-0.25964	 0.023378	-0.9696	-0.9636	-0.9551	 0.0007772	-0.09609	0.07753	-0.31854	-0.486322	-0.15144
23	0.2732	-0.01836	-0.11338	-0.313522	-0.11902	 0.16422	0.9398	-0.16176	-0.160763	-0.9772	-0.9666	-0.9330	-0.0631157	-0.06402	0.10770	-0.49432	 0.259457	-0.20963
24	0.2770	-0.02254	-0.11060	-0.470762	-0.15413	-0.28884	0.9597	-0.11512	-0.140910	-0.9831	-0.9626	-0.9628	-0.0545127	-0.06584	0.09720	-0.58060	-0.487166	-0.39615
25	0.2790	-0.01865	-0.10874	-0.596007	-0.16185	-0.43713	0.9375	-0.12732	 0.188416	-0.9795	-0.9651	-0.9450	-0.0156305	-0.08208	0.08679	-0.40116	-0.604032	-0.56278
26	0.2793	-0.01543	-0.10893	-0.340186	-0.13635	-0.33349	0.9606	-0.13392	 0.108739	-0.9801	-0.9690	-0.9662	-0.0033409	-0.08415	0.08511	-0.49289	-0.575735	-0.35455
27	0.2768	-0.01665	-0.11282	-0.348476	-0.18730	-0.29732	0.9448	-0.18750	-0.126211	-0.9799	-0.9738	-0.9566	-0.0855884	-0.03653	0.11827	-0.60686	-0.529865	-0.25012
28	0.2812	-0.01568	-0.10371	-0.293004	-0.11789	-0.30093	0.9429	-0.22932	-0.125913	-0.9767	-0.9688	-0.9442	-0.1058962	-0.01728	0.11607	-0.50380	-0.497684	-0.24260
29	0.2720	-0.01629	-0.10663	-0.174338	-0.09175	-0.24283	0.9624	-0.12732	 0.095579	-0.9783	-0.9753	-0.9460	-0.0079567	-0.08196	0.08569	-0.59887	-0.181803	-0.43023
30	0.2764	-0.01759	-0.09862	-0.346394	-0.17355	-0.12048	0.9652	-0.15767	-0.003926	-0.9798	-0.9702	-0.9440	-0.0459505	-0.06492	0.08396	-0.38792	 0.006003	-0.18257


WalkingUpStairs
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
 1	0.2555	-0.02395	-0.0973	-0.35471	-0.002320	-0.01948	0.8934	-0.36215	-0.075403	-0.9564	-0.9528	-0.9124	 0.05055	-0.166170	 0.0583595	-0.5449	 0.004105	-0.50717
 2	0.2472	-0.02141	-0.1525	-0.30438	 0.108027	-0.11212	0.7907	-0.41621	-0.195888	-0.9344	-0.9238	-0.8780	-0.05769	-0.032088	 0.0688374	-0.4393	-0.466298	-0.16400
 3	0.2608	-0.03241	-0.1101	-0.31312	 0.011628	-0.36975	0.8835	-0.38285	-0.162944	-0.9440	-0.9098	-0.9095	 0.07220	-0.139275	 0.0215604	-0.4560	-0.582743	-0.49233
 4	0.2709	-0.03198	-0.1142	-0.20493	-0.066690	-0.37214	0.9463	-0.23294	 0.084168	-0.9585	-0.9234	-0.9196	 0.03938	-0.085947	 0.0843754	-0.4544	-0.551186	-0.36081
 5	0.2685	-0.03253	-0.1075	-0.04572	 0.185022	-0.30894	0.9368	-0.26594	-0.023204	-0.9536	-0.9005	-0.9214	 0.03952	-0.117196	 0.0424443	-0.4433	-0.440346	-0.26545
 6	0.2682	-0.02724	-0.1221	-0.05014	 0.189276	-0.35352	0.9136	-0.34073	-0.018461	-0.9594	-0.9129	-0.9062	-0.07674	-0.051898	 0.0664234	-0.3220	-0.315800	-0.18390
 7	0.2487	-0.02756	-0.1438	-0.29487	-0.326160	-0.14567	0.8187	-0.24095	-0.403600	-0.9328	-0.9398	-0.8817	-0.13878	-0.002472	 0.1392171	-0.3639	-0.572997	-0.34898
 8	0.2589	-0.02824	-0.1151	-0.17171	 0.348769	 0.12119	0.8604	-0.29134	-0.192307	-0.9267	-0.9310	-0.8762	 0.19270	-0.204205	-0.0724546	-0.3674	-0.066698	 0.33753
 9	0.2624	-0.01951	-0.1252	-0.36144	-0.302206	-0.25343	0.9026	-0.03779	-0.266010	-0.9544	-0.9013	-0.8941	-0.16397	-0.041259	 0.1456946	-0.3440	-0.400859	-0.13818
10	0.2671	-0.01439	-0.1182	-0.16159	-0.005553	-0.07387	0.9319	-0.05657	 0.022753	-0.9592	-0.9370	-0.8647	 0.07334	-0.095460	 0.0879664	-0.3085	 0.041172	-0.32051
11	0.2638	-0.03032	-0.1068	-0.23880	-0.103168	-0.20337	0.8926	-0.34358	 0.146634	-0.9535	-0.9244	-0.9069	-0.08209	-0.056693	 0.0638054	-0.5013	-0.282045	-0.69466
12	0.2730	-0.02636	-0.1073	-0.29015	-0.103818	-0.43670	0.9384	-0.25914	-0.070250	-0.9602	-0.9414	-0.9381	-0.09312	-0.041131	 0.0898023	-0.5267	-0.522950	-0.34961
13	0.2582	-0.02774	-0.1258	-0.29628	 0.104471	-0.21721	0.8476	-0.35740	-0.207507	-0.9464	-0.9221	-0.9103	-0.13829	 0.003820	 0.1166796	-0.5411	-0.403572	-0.21181
14	0.2624	-0.02044	-0.1123	-0.30940	 0.307196	 0.60902	0.6883	-0.32268	-0.495089	-0.9285	-0.9072	-0.8755	 0.08138	-0.123500	-0.0441382	-0.4543	 0.476519	 0.56488
15	0.2702	-0.02875	-0.1170	-0.02610	-0.004065	-0.37972	0.9185	-0.31496	 0.081180	-0.9526	-0.9276	-0.9216	 0.09033	-0.154721	 0.0911681	-0.4153	-0.330233	-0.47737
16	0.2560	-0.01437	-0.1241	-0.39708	-0.163733	-0.12928	0.8269	-0.08059	-0.379060	-0.9484	-0.9337	-0.9076	 0.07184	-0.048614	-0.0077929	-0.5081	-0.586383	-0.36503
17	0.2526	-0.02286	-0.1213	-0.06295	-0.013172	-0.23022	0.8535	-0.28415	-0.298171	-0.9495	-0.9160	-0.9302	-0.03043	-0.054846	 0.0560931	-0.4966	-0.493044	-0.23440
18	0.2654	-0.02221	-0.1127	-0.38017	-0.211155	-0.31437	0.8833	-0.31662	-0.106113	-0.9617	-0.9421	-0.9078	-0.04707	-0.052613	 0.0906736	-0.5938	-0.507297	-0.43392
19	0.2421	-0.03040	-0.1511	-0.12874	 0.176350	-0.19047	0.8294	-0.38710	-0.221009	-0.9165	-0.9010	-0.8369	 0.03885	-0.134514	-0.0002332	-0.4068	-0.172633	-0.11012
20	0.2521	-0.02823	-0.1210	-0.11609	 0.152196	-0.22925	0.7771	-0.47989	-0.130118	-0.9314	-0.9246	-0.9041	 0.06592	-0.174651	 0.0587019	-0.4927	-0.104722	 0.18412
21	0.2652	-0.02372	-0.1254	-0.24081	 0.109787	-0.21971	0.7812	-0.43231	-0.309735	-0.9409	-0.9415	-0.9327	 0.06261	-0.155622	-0.0054683	-0.5319	-0.463137	 0.05172
22	0.2484	-0.02686	-0.1176	 0.08357	 0.250068	-0.10961	0.8895	-0.33683	-0.095798	-0.9406	-0.9416	-0.9132	 0.13498	-0.181458	 0.0157359	-0.3015	-0.489418	-0.15776
23	0.2500	-0.03238	-0.1269	-0.24389	 0.044844	 0.10080	0.8434	-0.21448	-0.355934	-0.9333	-0.9105	-0.9021	 0.09579	-0.111564	-0.0325558	-0.5507	-0.293682	-0.03173
24	0.2699	-0.02520	-0.1142	-0.34440	-0.116804	-0.25560	0.9064	-0.23750	-0.227135	-0.9622	-0.9167	-0.9350	 0.08832	-0.105933	 0.0248291	-0.5774	-0.568534	-0.27460
25	0.2780	-0.02699	-0.1262	-0.45978	-0.223087	-0.29652	0.9277	-0.21764	 0.108231	-0.9509	-0.9318	-0.8827	 0.05561	-0.109438	 0.0996227	-0.4890	-0.433673	-0.56420
26	0.2727	-0.02816	-0.1219	-0.16901	-0.049173	-0.40460	0.9421	-0.24617	-0.001993	-0.9620	-0.9379	-0.9296	-0.02480	-0.065760	 0.0721459	-0.5503	-0.603097	-0.30909
27	0.2658	-0.02010	-0.1235	-0.29544	-0.095010	-0.23071	0.8680	-0.22928	-0.294643	-0.9564	-0.9477	-0.9267	-0.09403	 0.002125	 0.1401299	-0.5625	-0.587967	-0.16996
28	0.2620	-0.02794	-0.1215	-0.24206	-0.146754	-0.28599	0.8545	-0.33322	-0.265208	-0.9447	-0.9276	-0.9005	-0.12936	 0.021225	 0.1037210	-0.5188	-0.479320	-0.18931
29	0.2654	-0.02995	-0.1180	-0.08677	-0.122128	 0.09954	0.9293	-0.22712	 0.044379	-0.9542	-0.9230	-0.8588	 0.09320	-0.152328	 0.0854318	-0.3239	 0.046110	-0.37482
30	0.2714	-0.02533	-0.1247	-0.35050	-0.127311	 0.02495	0.9318	-0.22665	-0.022140	-0.9540	-0.9149	-0.8624	-0.00356	-0.077961	 0.0814699	-0.4938	-0.084048	-0.21157


WalkingDownStairs
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
 1	0.2892	-0.009919	-0.10757	 0.03004	-0.031936	-0.230434	0.9319	-0.26661	-0.06212	-0.9506	-0.9370	-0.8959	-0.035078	-0.090937	0.09009	-0.4580	-0.12635	-0.12470
 2	0.2776	-0.022661	-0.11681	 0.04637	 0.262882	-0.102838	0.8618	-0.32578	-0.04389	-0.9404	-0.9401	-0.9314	-0.115947	-0.004823	0.09717	-0.3208	-0.41574	-0.27942
 3	0.2924	-0.019355	-0.11614	-0.05741	-0.033150	-0.362240	0.9391	-0.22883	-0.10235	-0.9501	-0.9461	-0.8999	-0.131573	-0.013936	0.12383	-0.2617	-0.54674	-0.44231
 4	0.2800	-0.009802	-0.10678	 0.01119	-0.218598	-0.479186	0.9477	-0.06209	 0.14871	-0.9553	-0.9321	-0.9378	-0.102839	-0.070403	0.05926	-0.3702	-0.69945	-0.49848
 5	0.2935	-0.008501	-0.10032	 0.27505	 0.090763	-0.325891	0.9566	-0.06076	 0.02168	-0.9505	-0.9124	-0.9272	-0.068295	-0.070781	0.08066	-0.4606	-0.40913	-0.22787
 6	0.2770	-0.019537	-0.10721	 0.38368	 0.360165	-0.320204	0.9285	-0.21405	-0.00308	-0.9544	-0.9336	-0.9344	-0.096084	-0.034178	0.08700	-0.1983	-0.18923	-0.09408
 7	0.2803	-0.016633	-0.09694	 0.06608	-0.138179	-0.063640	0.9306	-0.12987	-0.15494	-0.9649	-0.9527	-0.9288	-0.105410	-0.049717	0.11689	-0.4077	-0.29263	-0.40105
 8	0.2835	-0.021106	-0.10760	 0.02414	 0.343826	 0.133717	0.9140	-0.18761	-0.14182	-0.9458	-0.9416	-0.8972	-0.121190	-0.050076	0.11414	-0.2584	 0.02431	-0.12957
 9	0.2959	-0.020399	-0.09103	 0.21339	-0.208311	-0.007715	0.9384	-0.03523	-0.08228	-0.9521	-0.9363	-0.8766	-0.091638	-0.071260	0.11680	-0.3964	-0.34077	-0.27969
10	0.2904	-0.020005	-0.11085	 0.29573	 0.004079	-0.183558	0.9398	-0.06462	 0.04187	-0.9393	-0.9370	-0.9021	-0.124840	-0.106743	0.07244	-0.3047	-0.31141	-0.03530
11	0.2916	-0.017810	-0.11107	 0.14246	 0.070812	-0.324027	0.9417	-0.20032	 0.13237	-0.9545	-0.9263	-0.9258	-0.125069	-0.026278	0.05752	-0.3741	-0.49591	-0.31896
12	0.2815	-0.018084	-0.10956	 0.04241	 0.110835	-0.425017	0.9499	-0.17870	-0.05611	-0.9595	-0.9433	-0.9354	-0.112532	-0.042734	0.08954	-0.3621	-0.47629	-0.33781
13	0.2949	-0.014372	-0.10199	-0.06816	-0.032125	-0.158333	0.9419	-0.21156	-0.09508	-0.9526	-0.9285	-0.8940	-0.122672	-0.023721	0.11128	-0.4170	-0.19885	-0.32277
14	0.2934	-0.020014	-0.09283	 0.01783	 0.378870	 0.451576	0.8163	-0.26425	-0.39256	-0.9191	-0.9207	-0.8796	-0.014708	-0.094529	0.03533	-0.3546	 0.05699	 0.35620
15	0.2802	-0.005630	-0.11053	 0.40647	 0.186532	-0.281982	0.9323	-0.16746	 0.07888	-0.9428	-0.9257	-0.9340	-0.136619	-0.034676	0.07118	-0.3187	-0.37321	-0.25065
16	0.2956	-0.018390	-0.11987	 0.20725	-0.146994	 0.011435	0.9178	-0.05848	-0.22538	-0.9578	-0.9555	-0.9106	-0.022537	-0.068265	0.08354	-0.4542	-0.52833	-0.44464
17	0.2939	-0.016736	-0.08924	 0.18772	-0.060789	-0.231064	0.9288	-0.15108	-0.16096	-0.9500	-0.9466	-0.9011	 0.067773	-0.123517	0.01629	-0.3704	-0.45928	-0.46846
18	0.2884	-0.016867	-0.10339	-0.30263	-0.254214	-0.418610	0.9323	-0.22581	-0.04936	-0.9604	-0.9330	-0.9217	-0.057655	-0.063621	0.09875	-0.5025	-0.61723	-0.48366
19	0.2627	-0.014594	-0.13370	 0.62692	 0.514816	 0.049322	0.8819	-0.21502	-0.12615	-0.8997	-0.9179	-0.8994	-0.205775	 0.027471	0.16396	 0.2677	 0.04831	-0.03141
20	0.2961	-0.009641	-0.10460	 0.07451	 0.616937	-0.160939	0.9197	-0.27742	-0.02826	-0.9405	-0.9086	-0.9197	-0.111368	 0.013902	0.10390	-0.2049	-0.14679	 0.15972
21	0.3015	-0.017320	-0.09817	 0.22434	 0.301336	-0.071789	0.8727	-0.35667	-0.18787	-0.9402	-0.9401	-0.9163	-0.126388	 0.016215	0.14861	-0.4421	-0.35373	-0.34976
22	0.2845	-0.019800	-0.10742	 0.34862	 0.239812	-0.325723	0.9218	-0.22222	 0.04130	-0.9412	-0.9458	-0.9066	-0.077961	-0.069715	0.05007	-0.2373	-0.55030	-0.28042
23	0.2899	-0.016211	-0.09881	 0.04414	 0.108259	 0.229899	0.9237	-0.11003	-0.15367	-0.9508	-0.9390	-0.9059	-0.057823	-0.085308	0.09536	-0.4161	 0.21383	-0.20870
24	0.2886	-0.014573	-0.10482	-0.08273	-0.102607	-0.205566	0.9509	-0.12833	-0.14012	-0.9618	-0.9415	-0.9422	-0.086707	-0.054230	0.11197	-0.4319	-0.48467	-0.49108
25	0.2913	-0.021017	-0.10719	-0.25376	-0.140541	-0.457972	0.9296	-0.07243	 0.21880	-0.9645	-0.9378	-0.9262	 0.002991	-0.101115	0.09808	-0.2888	-0.52338	-0.44378
26	0.2793	-0.012626	-0.10644	 0.17395	-0.011630	-0.284808	0.9468	-0.07990	 0.15391	-0.9627	-0.9354	-0.9331	-0.010752	-0.100382	0.08222	-0.3313	-0.47341	-0.33205
27	0.2975	-0.013556	-0.11284	 0.16741	-0.097971	-0.240041	0.9314	-0.16694	-0.14005	-0.9470	-0.9350	-0.9209	-0.159827	-0.016313	0.15270	-0.3637	-0.48181	-0.25785
28	0.2936	-0.022023	-0.10859	 0.12571	 0.156497	-0.341032	0.9293	-0.23590	-0.12148	-0.9569	-0.9484	-0.9171	-0.141096	 0.007106	0.13862	-0.2681	-0.25937	-0.30703
29	0.2931	-0.014941	-0.09813	 0.16738	-0.122463	-0.223178	0.9485	-0.07610	 0.09197	-0.9417	-0.9139	-0.8693	-0.037413	-0.085105	0.08222	-0.2821	-0.39046	-0.31112
30	0.2832	-0.017438	-0.09998	-0.05777	-0.027263	-0.217276	0.9580	-0.12671	 0.02881	-0.9589	-0.9187	-0.8777	-0.074559	-0.069311	0.08958	-0.2659	-0.28539	-0.29537


Sitting
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
 1	0.2612	-0.001308	-0.10454	-0.9772	-0.9226	-0.9396	0.8315	 0.204412	 0.332044	-0.9685	-0.9355	-0.9490	-0.04535	-0.09192	0.06293	-0.9772	-0.9665	-0.9414
 2	0.2771	-0.015688	-0.10922	-0.9868	-0.9507	-0.9598	0.9405	-0.105630	 0.198727	-0.9800	-0.9568	-0.9544	-0.04547	-0.05993	0.04123	-0.9857	-0.9789	-0.9598
 3	0.2572	-0.003503	-0.09836	-0.9710	-0.8566	-0.8751	0.9011	 0.127303	 0.139021	-0.9573	-0.9039	-0.8977	-0.03854	-0.07524	0.09401	-0.9654	-0.9449	-0.9264
 4	0.2715	-0.007163	-0.10587	-0.9803	-0.8902	-0.9322	0.8693	 0.211623	 0.110120	-0.9814	-0.9327	-0.9509	-0.04944	-0.08943	0.10115	-0.9701	-0.9585	-0.9280
 5	0.2737	-0.009901	-0.10854	-0.9809	-0.9043	-0.9261	0.8807	 0.168446	 0.143007	-0.9831	-0.9399	-0.9450	-0.04224	-0.08355	0.08239	-0.9662	-0.9501	-0.9406
 6	0.2768	-0.014591	-0.11013	-0.9802	-0.9237	-0.9258	0.9337	 0.068263	 0.069522	-0.9889	-0.9609	-0.9555	-0.03724	-0.08991	0.08543	-0.9574	-0.9441	-0.9397
 7	0.2847	-0.014611	-0.12246	-0.9727	-0.9095	-0.8565	0.9691	 0.006088	 0.064964	-0.9571	-0.9454	-0.8686	-0.04964	-0.03361	0.02595	-0.9419	-0.9441	-0.9370
 8	0.2675	-0.006726	-0.10446	-0.9790	-0.9273	-0.9396	0.8325	 0.240095	 0.263895	-0.9668	-0.9375	-0.9355	-0.05474	-0.09551	0.07160	-0.9845	-0.9715	-0.9596
 9	0.2483	-0.027017	-0.07538	-0.9572	-0.8751	-0.8320	0.9163	-0.041426	 0.085263	-0.9553	-0.9465	-0.8859	-0.04233	-0.04143	0.08079	-0.9590	-0.9192	-0.9302
10	0.2706	-0.015043	-0.10425	-0.9829	-0.9180	-0.9678	0.7919	-0.041261	 0.202535	-0.9731	-0.9357	-0.9669	-0.04324	-0.06800	0.07460	-0.9889	-0.9844	-0.9604
11	0.2766	-0.014920	-0.11284	-0.9828	-0.9214	-0.9684	0.8720	 0.213716	 0.188532	-0.9881	-0.9498	-0.9717	-0.04000	-0.07553	0.07617	-0.9882	-0.9822	-0.9528
12	0.2750	-0.015789	-0.10631	-0.9826	-0.9286	-0.9397	0.9262	 0.083051	 0.088564	-0.9852	-0.9636	-0.9562	-0.04242	-0.07520	0.07285	-0.9744	-0.9605	-0.9516
13	0.2743	-0.005877	-0.09725	-0.9895	-0.9390	-0.9386	0.9256	 0.101770	 0.075777	-0.9814	-0.9514	-0.9310	-0.03551	-0.09027	0.08234	-0.9858	-0.9797	-0.9669
14	0.2800	-0.008706	-0.10040	-0.9763	-0.9149	-0.9228	0.9390	-0.036453	-0.094597	-0.9763	-0.9503	-0.9384	-0.04404	-0.07135	0.09285	-0.9808	-0.9620	-0.9529
15	0.2729	-0.011719	-0.11366	-0.9871	-0.9224	-0.9493	0.8904	 0.210849	 0.002816	-0.9826	-0.9436	-0.9530	-0.03771	-0.08034	0.09520	-0.9882	-0.9753	-0.9638
16	0.2808	-0.010250	-0.08914	-0.9868	-0.9516	-0.9397	0.9425	-0.086588	 0.089268	-0.9802	-0.9680	-0.9458	-0.04120	-0.05745	0.07957	-0.9810	-0.9583	-0.9603
17	0.2774	-0.014156	-0.11362	-0.9944	-0.9619	-0.9657	0.9449	-0.002815	-0.135804	-0.9902	-0.9667	-0.9566	-0.04255	-0.06692	0.08601	-0.9896	-0.9861	-0.9797
18	0.2773	-0.012869	-0.11190	-0.9943	-0.9749	-0.9776	0.9098	 0.129886	 0.161877	-0.9940	-0.9840	-0.9783	-0.03331	-0.06858	0.08481	-0.9920	-0.9868	-0.9815
19	0.2738	-0.016739	-0.10871	-0.9764	-0.9504	-0.9519	0.5814	 0.360344	 0.489127	-0.9694	-0.9700	-0.9604	-0.02142	-0.05202	0.09690	-0.9846	-0.9598	-0.9656
20	0.2780	-0.014723	-0.10837	-0.9831	-0.9361	-0.9291	0.9245	 0.073339	 0.151679	-0.9858	-0.9670	-0.9359	-0.03641	-0.06507	0.06429	-0.9763	-0.9601	-0.9458
21	0.2775	-0.014401	-0.11206	-0.9918	-0.9669	-0.9596	0.9400	 0.021521	-0.056777	-0.9929	-0.9794	-0.9654	-0.01987	-0.06531	0.08313	-0.9884	-0.9764	-0.9770
22	0.2736	-0.012347	-0.10583	-0.9785	-0.9281	-0.9176	0.8393	 0.208554	 0.315551	-0.9720	-0.9542	-0.9280	-0.03604	-0.07936	0.08044	-0.9811	-0.9502	-0.9465
23	0.2734	-0.013395	-0.10381	-0.9876	-0.9349	-0.9056	0.9365	 0.121751	 0.063011	-0.9845	-0.9609	-0.9240	-0.04726	-0.06843	0.06457	-0.9804	-0.9481	-0.9597
24	0.2735	-0.013126	-0.10304	-0.9906	-0.9563	-0.9571	0.9196	 0.182255	 0.109560	-0.9897	-0.9717	-0.9634	-0.03562	-0.07501	0.08004	-0.9881	-0.9780	-0.9713
25	0.2785	-0.014770	-0.10916	-0.9919	-0.9475	-0.9651	0.8657	 0.208287	 0.167141	-0.9889	-0.9634	-0.9695	-0.03521	-0.07480	0.08528	-0.9899	-0.9812	-0.9726
26	0.2582	-0.007134	-0.09744	-0.9798	-0.9408	-0.9500	0.7830	 0.223106	 0.314388	-0.9651	-0.9493	-0.9446	-0.03702	-0.08406	0.07111	-0.9910	-0.9734	-0.9664
27	0.2739	-0.015527	-0.10552	-0.9886	-0.9716	-0.9659	0.8395	 0.212947	 0.276417	-0.9824	-0.9826	-0.9673	-0.03718	-0.07973	0.08338	-0.9885	-0.9821	-0.9757
28	0.2770	-0.018540	-0.11152	-0.9833	-0.9399	-0.9367	0.9073	-0.112597	 0.135403	-0.9891	-0.9718	-0.9561	-0.03390	-0.06739	0.08703	-0.9797	-0.9563	-0.9566
29	0.2772	-0.016631	-0.11041	-0.9907	-0.9632	-0.9681	0.8916	 0.155659	 0.286256	-0.9847	-0.9736	-0.9660	-0.03793	-0.07558	0.05805	-0.9902	-0.9883	-0.9712
30	0.2683	-0.008047	-0.09952	-0.9836	-0.9379	-0.9507	0.8255	 0.114588	 0.344766	-0.9784	-0.9594	-0.9566	-0.03584	-0.07435	0.07020	-0.9881	-0.9765	-0.9551


Standing
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
 1	0.2789	-0.016138	-0.11060	-0.9958	-0.9732	-0.9798	0.9430	-0.27298	 0.013491	-0.9938	-0.9812	-0.9763	-0.02399	-0.05940	0.07480	-0.9872	-0.9877	-0.9806
